Zoning Classification,Overall Material Quality,Overall House Condition,Roof Style,Fireplace Quality,Garage Year Built,Garage Area,Garage Quality,Year Sold,Actual SalePrice,Expected SalePrice
Low Density,8,5,Hip,Excellent,1996,666,Average,2010,410000,505152.1333
Low Density,8,5,Gable,Good,2005,880,Average,2010,221500,251937.9495
Village Residential,7,5,Hip,NA,2009,676,Average,2010,204500,229934.862
Village Residential,7,5,Gable,NA,2009,614,Average,2010,215200,256068.3621
Village Residential,8,5,Gable,NA,2008,750,Average,2010,262500,326026.3523
Village Residential,7,5,Gable,Good,2004,678,Average,2010,254900,255480.3731
Village Residential,6,5,Gable,Good,2005,528,Average,2010,271500,307118.2875
Low Density,7,5,Gable,NA,2004,618,Average,2010,233000,277592.174
Low Density,7,5,Gable,NA,2004,484,Average,2010,181000,188426.0016
Low Density,7,5,Gable,Fair,1994,463,Average,2010,205000,241441.2943
Low Density,6,5,Gable,Average,1980,264,Average,2010,143000,151746.1219
Low Density,6,5,Gable,Average,1992,462,Average,2010,189000,215272.6172
Low Density,6,5,Gable,Average,1979,264,Average,2010,99500,102652.8007
Low Density,6,5,Gable,NA,1984,264,Average,2010,125000,142074.3614
Low Density,7,7,Gable,NA,1993,457,Average,2010,194500,227046.8271
Low Density,6,5,Hip,NA,1986,480,Average,2010,152000,161317.858
Low Density,6,6,Gable,Average,1980,476,Average,2010,171000,184691.8595
High Density,5,5,Gable,NA,1920,429,Average,2010,67500,83812.95525
Medium Density,6,5,Gable,NA,1978,539,Average,2010,112000,130024.888
Low Density,5,7,Gable,NA,1987,576,Average,2010,148000,149541.1173
Low Density,5,8,Gable,Good,1973,336,Average,2010,138500,152312.3408
Low Density,5,5,Gable,NA,1970,280,Average,2010,122000,126012.2734
Low Density,5,5,Gable,NA,1963,308,Average,2010,133000,159214.1781
Low Density,5,8,Gable,NA,1962,260,Average,2010,127000,144480.4172
Low Density,6,6,Hip,Fair,1974,461,Average,2010,169000,176416.1585
Low Density,7,5,Gable,Average,1992,564,Average,2010,190000,220916.5943
Low Density,8,5,Gable,Average,1993,762,Average,2010,362500,413748.5253
Low Density,8,5,Gable,Average,1992,713,Average,2010,285000,347011.5163
Village Residential,7,5,Gable,Good,2004,506,Average,2010,260000,314812.4594
Village Residential,7,5,Gable,NA,2004,588,Average,2010,190000,198020.3494
Village Residential,7,5,Gable,NA,2004,480,Average,2010,155000,188501.4174
Village Residential,7,5,Gable,NA,2004,480,Average,2010,151000,151407.194
Village Residential,7,5,Gable,NA,2004,480,Average,2010,149500,158966.5933
Village Residential,6,5,Gable,NA,2005,480,Average,2010,152000,171381.6826
Village Residential,7,5,Gable,Good,2009,484,Average,2010,222000,252993.8228
Village Residential,6,5,Gable,NA,2000,440,Average,2010,177500,213156.8258
Village Residential,6,5,Gable,NA,2000,440,Average,2010,177000,209189.0098
Village Residential,7,5,Hip,NA,1999,484,Average,2010,155000,176646.8524
Village Residential,7,5,Gable,NA,2003,496,Average,2010,147110,168137.1371
Village Residential,8,5,Gable,Good,2010,852,Average,2010,267916,313996.8538
Village Residential,8,5,Gable,Average,2000,592,Average,2010,254000,284739.4732
Low Density,8,5,Gable,Average,1980,484,Average,2010,155000,166064.7299
Low Density,8,6,Gable,Average,1978,484,Average,2010,206000,243521.903
Low Density,6,8,Gable,NA,1976,475,Average,2010,130500,154012.7214
Village Residential,7,5,Gable,Good,2002,596,Average,2010,230000,235345.6589
Low Density,6,6,Hip,NA,1967,535,Average,2010,218500,258657.4551
Low Density,6,5,Gable,Average,1993,660,Average,2010,243500,290534.9803
Low Density,6,7,Gable,Average,1977,480,Average,2010,205000,246399.946
Low Density,6,5,Gable,Average,1978,678,Average,2010,212500,258131.0123
Low Density,7,5,Gable,Average,1988,496,Average,2010,196500,233069.4497
Low Density,6,7,Hip,Average,1972,676,Average,2010,197500,197965.9732
Low Density,6,6,Gable,NA,1971,441,Average,2010,171000,175723.5309
Low Density,5,5,Hip,NA,1966,490,Average,2010,142250,150825.9075
Low Density,6,5,Hip,Good,1963,528,Average,2010,143000,161543.9438
Low Density,4,5,Gable,NA,,0,NA,2010,128950,147057.4215
Low Density,5,5,Hip,NA,1966,504,Average,2010,159000,184441.4826
Low Density,5,6,Gable,NA,1967,517,Average,2010,178900,184795.4331
Low Density,6,5,Gable,NA,1964,480,Average,2010,136300,154697.6721
Low Density,5,7,Hip,Good,1964,484,Average,2010,180500,192654.7865
Low Density,6,7,Gable,NA,1963,480,Average,2010,137500,144457.7858
Low Density,5,6,Hip,NA,,0,NA,2010,84900,104495.5322
Low Density,5,6,Hip,NA,1950,240,Average,2010,142125,146914.6306
Low Density,5,7,Gable,Good,1994,400,Average,2010,197600,224221.7036
Low Density,6,6,Gable,Good,1949,470,Average,2010,172500,204139.4665
Low Density,5,7,Gable,NA,,0,NA,2010,116500,118475.7139
Low Density,3,2,Gable,NA,,0,NA,2010,76500,80657.05179
Low Density,5,5,Gable,NA,1954,280,Average,2010,128000,131492.4662
Low Density,6,6,Gable,Good,1955,364,Average,2010,153000,183100.2438
Low Density,5,6,Gable,Good,1954,244,Average,2010,132000,153365.3595
Low Density,6,8,Gable,Good,1966,315,Average,2010,178000,180225.5874
Low Density,5,5,Gable,NA,1960,480,Average,2010,154300,166932.8079
Low Density,7,5,Gable,Good,1970,576,Average,2010,180000,189243.7118
Low Density,6,6,Gable,Good,1966,578,Average,2010,190000,196083.4476
Low Density,5,5,Gable,NA,1958,576,Average,2010,135000,146514.2506
Low Density,7,5,Gable,NA,2003,620,Average,2010,214000,245931.8641
Low Density,5,5,Hip,NA,1959,308,Average,2010,136000,140022.597
Low Density,5,5,Hip,Good,1959,447,Average,2010,165500,195210.2462
Low Density,5,6,Gable,NA,1957,294,Average,2010,145000,167252.9433
Low Density,6,6,Hip,NA,1959,312,Average,2010,148000,183335.1553
Low Density,5,5,Hip,NA,1959,531,Average,2010,142000,176689.9653
Low Density,5,5,Gable,Good,1960,461,Average,2010,167500,175937.8817
Low Density,5,5,Hip,NA,1959,312,Average,2010,108538,114135.7422
Low Density,6,5,Gable,Good,1956,440,Average,2010,159500,193862.7685
Low Density,4,5,Gable,NA,1956,263,Average,2010,108000,108863.2909
Low Density,5,7,Gable,NA,1952,318,Average,2010,135000,165811.7549
Low Density,5,6,Gable,NA,1955,305,Average,2010,122500,139746.6768
Low Density,5,5,Gable,NA,1958,264,Average,2010,119000,120582.4269
Low Density,5,7,Gable,NA,1953,246,Average,2010,109000,109684.697
Low Density,4,7,Gable,NA,1989,676,Average,2010,105000,127497.3266
Low Density,5,7,Gable,Poor,1967,392,Average,2010,107500,115795.6116
Low Density,5,7,Gable,NA,1989,490,Average,2010,144900,168442.394
Low Density,5,7,Gable,NA,1956,308,Average,2010,129000,142124.828
Low Density,6,5,Gable,Good,1948,330,Average,2010,97500,104158.6354
Low Density,6,5,Gable,NA,1980,576,Average,2010,144000,151922.0907
Low Density,5,7,Gable,Good,1997,576,Average,2010,162000,190451.8004
Low Density,7,7,Mansard,Good,1961,564,Average,2010,242000,267406.1349
Low Density,6,8,Gable,NA,1950,280,Average,2010,132000,156841.5932
Low Density,5,7,Hip,NA,1959,305,Average,2010,154000,184320.3904
Low Density,5,4,Gable,NA,2000,720,Average,2010,166000,175438.4784
Low Density,5,7,Gable,NA,2005,576,Average,2010,134800,137108.3894
Low Density,6,6,Hip,NA,1962,440,Average,2010,160000,182372.3092
Low Density,5,6,Gable,NA,1960,484,Average,2010,148000,181910.4916
Low Density,6,7,Hip,Average,1963,440,Average,2010,192000,218844.9009
Low Density,6,5,Gable,Average,1966,442,Average,2010,155000,184869.6144
Medium Density,4,5,Hip,Good,1900,240,Average,2010,80400,87507.22111
Medium Density,4,7,Gable,NA,,0,NA,2010,96500,119152.0111
Medium Density,5,7,Gable,Good,,0,NA,2010,109500,132658.5666
Medium Density,5,6,Gable,Good,1927,360,Average,2010,115000,136866.6469
Medium Density,5,7,Hip,NA,1957,551,Average,2010,143000,178245.797
Medium Density,3,6,Gambrel,NA,1915,379,Average,2010,107400,113786.2665
Medium Density,4,6,Gable,NA,1945,220,Average,2010,80000,91119.03709
Medium Density,5,7,Gable,Good,1940,240,Average,2010,119000,123259.2384
Medium Density,5,7,Gable,NA,1974,484,Average,2010,130000,130947.7512
Medium Density,6,7,Gable,NA,1938,240,Fair,2010,119000,122805.8757
Medium Density,5,7,Gable,Good,1948,240,Average,2010,129000,135710.9402
Medium Density,5,6,Gable,NA,1962,315,Average,2010,100000,109480.5417
Medium Density,2,2,Gable,Good,1928,780,Fair,2010,12789,15490.48678
Medium Density,6,8,Gable,NA,2005,484,Average,2010,105900,115423.7601
Medium Density,8,9,Gable,NA,1930,288,Average,2010,150000,167006.5651
Medium Density,5,6,Gable,NA,1961,416,Average,2010,139000,156061.0638
Medium Density,8,9,Gable,NA,2003,624,Average,2010,240000,243006.1385
Medium Density,5,3,Gable,NA,,0,NA,2010,76500,93467.41405
Medium Density,6,7,Gable,NA,1957,923,Average,2010,149700,167140.5286
Medium Density,4,7,Gable,NA,1966,528,Average,2010,125500,135716.2764
Medium Density,4,6,Gable,NA,1971,560,Average,2010,122500,146026.2152
Medium Density,6,7,Gable,NA,1970,624,Average,2010,140750,173089.4993
Medium Density,5,6,Gable,NA,1950,363,Average,2010,128500,133080.6324
Low Density,7,7,Gable,Good,1928,315,Average,2010,209500,223873.1266
Medium Density,4,7,Gable,NA,1926,200,Fair,2010,87000,94374.60813
Medium Density,6,7,Gable,NA,1939,240,Average,2010,134000,143584.5365
Medium Density,6,6,Gable,Good,1973,576,Average,2010,128000,148227.327
Medium Density,5,6,Gable,Fair,1942,240,Average,2010,132000,135640.4634
Medium Density,6,7,Gable,NA,1948,312,Average,2010,139900,173063.5981
Medium Density,5,7,Gable,NA,1979,624,Average,2010,123900,141940.695
Medium Density,5,5,Gable,Good,1930,480,Average,2010,138400,164612.505
Medium Density,6,5,Gable,Good,1923,288,Average,2010,109500,124020.6809
Medium Density,7,6,Gable,NA,1990,480,Average,2010,140000,165829.6713
Medium Density,4,5,Gable,Average,1915,572,Average,2010,149500,175176.8575
Medium Density,6,8,Gable,NA,,0,NA,2010,159900,161352.2247
Medium Density,6,8,Gable,NA,1920,180,Average,2010,122000,125418.6363
Medium Density,5,5,Gable,NA,1963,516,Average,2010,110000,120348.5906
Medium Density,4,5,Hip,NA,,0,NA,2010,55000,65671.77909
Medium Density,5,9,Gable,Poor,1999,672,Average,2010,140000,158483.9138
Low Density,7,7,Gable,Average,1940,349,Average,2010,244400,273203.1733
Low Density,5,5,Gable,Good,1959,365,Average,2010,173000,215373.0784
Low Density,5,3,Gable,NA,1917,180,Fair,2010,107500,117216.6669
Low Density,5,4,Gable,NA,,0,NA,2010,100000,116238.1215
Low Density,6,5,Gable,NA,1940,231,Average,2010,95000,104716.475
Commercial,4,1,Gambrel,NA,,0,NA,2010,93369,109273.7113
High Density,5,7,Gable,Good,1910,450,Average,2010,114900,121274.0642
Low Density,5,8,Gable,NA,,0,NA,2010,94000,115133.7813
Low Density,4,3,Gable,NA,,0,NA,2010,136000,140910.3988
Low Density,4,5,Hip,NA,,0,NA,2010,136500,136610.1497
Low Density,5,4,Hip,NA,1965,504,Average,2010,131500,160898.8636
Low Density,5,6,Hip,Good,1957,528,Average,2010,121500,150333.0177
Low Density,5,5,Gable,Fair,1974,336,Average,2010,125000,138325.0117
Low Density,5,8,Gable,Average,1968,270,Average,2010,154000,168804.1292
Low Density,5,7,Hip,NA,1966,416,Average,2010,137900,156655.0127
Low Density,6,7,Gable,NA,1969,299,Average,2010,158000,183303.8725
Low Density,5,5,Hip,NA,1969,280,Average,2010,137250,154647.5367
Low Density,5,5,Gable,Average,1978,591,Average,2010,160250,167684.6657
Low Density,5,5,Gable,Average,1968,480,Average,2010,163000,200835.3538
Low Density,6,5,Hip,Average,1978,440,Average,2010,158900,185504.3892
Low Density,7,5,Gable,NA,1996,533,Average,2010,328000,374137.6812
Low Density,7,7,Hip,Average,1977,690,Average,2010,270000,287412.2821
Low Density,4,4,Gable,NA,1945,440,Average,2010,85000,90324.19293
Low Density,4,7,Gable,NA,1996,436,Average,2010,128000,142329.8076
Low Density,7,6,Shed,Average,1979,586,Average,2010,260000,297041.2596
Low Density,6,5,Gable,Average,1978,522,Average,2010,230000,275156.1363
Low Density,3,4,Gable,Good,1938,480,Average,2010,124000,145534.9148
Low Density,5,5,Gable,NA,1920,366,Fair,2010,83000,90375.26856
Low Density,6,7,Gable,Average,1987,467,Average,2010,144500,147449.0908
Low Density,5,6,Gable,NA,1956,596,Average,2010,129000,147150.2998
Low Density,4,6,Gable,Average,1947,209,Fair,2010,127000,136478.8401
Low Density,5,7,Gable,NA,1954,366,Average,2010,128000,150907.334
Low Density,6,5,Gable,NA,2009,460,Average,2010,186000,214646.7819
Low Density,7,5,Gable,Average,2009,572,Average,2010,308030,364382.8187
Low Density,5,3,Gable,NA,1964,504,Average,2010,114000,120399.3
Low Density,4,7,Gable,NA,1946,308,Average,2010,84900,93193.1426
Low Density,6,5,Gable,Average,1985,476,Average,2010,178000,209102.9933
Low Density,7,5,Gable,Average,1987,528,Good,2010,270000,284216.5284
Low Density,6,7,Gable,Good,2000,1017,Average,2010,218000,225489.2443
Low Density,7,5,Gable,Average,1993,574,Average,2010,236000,255318.5435
Low Density,6,6,Gable,NA,1992,564,Average,2010,147000,181720.3121
Low Density,8,5,Gable,NA,2008,776,Average,2010,245350,264278.144
Low Density,7,5,Gable,NA,2006,632,Average,2010,206000,251095.9308
Low Density,7,5,Gable,NA,2009,740,Average,2010,198900,237079.3645
Low Density,7,5,Gable,NA,2009,615,Average,2010,187000,209975.9845
Low Density,7,5,Hip,Average,1990,594,Average,2010,320000,344801.1335
Low Density,6,8,Gable,NA,1957,484,Average,2010,138500,160310.9517
Low Density,6,7,Gable,NA,1971,440,Average,2010,155000,186392.128
Low Density,5,5,Gable,NA,1998,580,Good,2010,159000,165567.7536
Low Density,7,5,Gable,Average,1997,513,Average,2010,191000,204017.0555
Low Density,6,5,Gable,NA,1998,523,Average,2010,200500,218790.013
Low Density,5,8,Gable,NA,1977,308,Average,2010,150000,166826.0638
Low Density,6,7,Gable,NA,1977,299,Average,2010,161750,165172.1904
Low Density,5,6,Gable,NA,1976,308,Average,2010,128200,136454.4746
Low Density,5,6,Gable,NA,1977,484,Average,2010,127000,137536.5959
Low Density,8,5,Hip,Good,2003,850,Average,2010,318000,364167.6639
Low Density,8,5,Gable,Average,2001,670,Average,2010,272000,333236.03
Low Density,7,6,Gable,Average,2003,613,Average,2010,237000,283374.4927
Low Density,7,5,Gable,Average,1997,621,Average,2010,240000,253929.3836
Low Density,7,5,Gable,NA,1998,598,Average,2010,224900,257501.7584
Medium Density,6,5,Gable,NA,2003,420,Average,2010,143750,157052.7263
Medium Density,6,5,Gable,NA,2004,420,Average,2010,143000,153158.8492
Low Density,8,5,Hip,Average,2003,502,Average,2010,232000,287439.1249
Low Density,7,5,Gable,NA,2004,606,Average,2010,213000,241903.3311
Low Density,7,5,Gable,NA,2004,494,Average,2010,185500,219758.8066
Low Density,3,6,Gable,NA,1945,240,Average,2010,84900,85239.49374
Low Density,5,6,Gable,NA,1954,319,Average,2010,155891,178379.4907
Low Density,5,5,Hip,NA,,0,NA,2010,100000,124038.6399
Low Density,5,6,Gable,NA,1968,336,Average,2010,144000,158927.3297
Low Density,4,5,Gable,NA,1956,480,Average,2010,64000,68824.49876
Low Density,6,6,Gable,Fair,1975,352,Average,2010,125200,146909.8242
Low Density,6,5,Gable,Average,1976,672,Average,2010,107000,130291.5248
Low Density,4,5,Hip,NA,,0,NA,2010,90000,90109.25066
Medium Density,4,5,Gable,NA,2003,440,Average,2010,140000,156970.4976
Low Density,6,4,Gable,Good,1949,220,Average,2010,113000,119485.091
Low Density,4,4,Gable,NA,1941,280,Average,2010,80000,86079.97865
Low Density,5,6,Hip,Good,1957,364,Average,2010,144500,180024.8772
Low Density,5,6,Gable,Good,1979,260,Average,2010,104000,115820.6194
Low Density,6,4,Gable,NA,1920,216,Average,2010,128000,149975.5712
Low Density,3,3,Gable,NA,1938,200,Average,2010,58500,60940.79062
Low Density,5,6,Gable,Good,1924,308,Average,2010,127000,156379.4251
Low Density,6,6,Gable,Good,1939,399,Average,2010,126000,146068.5796
High Density,4,6,Flat,NA,,0,NA,2010,160000,181044.4585
Low Density,5,2,Gable,Good,,0,NA,2010,100000,118640.0653
Low Density,6,7,Gable,Good,1969,336,Average,2010,169000,202759.8805
Low Density,7,6,Gable,Average,1941,312,Average,2010,257500,319277.0166
Low Density,5,6,Gable,NA,1950,484,Average,2010,215000,238960.2242
Low Density,7,9,Gable,Good,1941,252,Average,2010,266500,312269.61
Low Density,7,8,Gable,Average,1959,567,Average,2010,335000,337343.6534
Low Density,7,6,Gable,NA,1994,473,Average,2010,203135,209384.5635
Medium Density,8,6,Gable,Average,1989,598,Average,2010,185000,195641.081
Medium Density,8,5,Gable,Average,1989,531,Average,2010,162500,164842.6033
Low Density,7,8,Gable,Average,1959,484,Average,2010,289000,338213.7532
Medium Density,4,8,Gable,NA,1922,240,Average,2010,125500,147395.4879
Medium Density,2,5,Gable,NA,1951,200,Fair,2010,82000,92642.1202
Medium Density,6,5,Gable,NA,1950,625,Average,2010,110000,113445.8372
Commercial,4,4,Gable,NA,1980,528,Average,2010,68400,71847.84796
Commercial,4,7,Gable,NA,1964,384,Average,2010,102776,105424.3209
Commercial,5,5,Hip,NA,1952,504,Average,2010,55993,59007.93383
Commercial,4,7,Hip,NA,1896,330,Average,2010,50138,50363.32909
Medium Density,8,5,Hip,Good,2004,525,Average,2010,246000,261610.1856
Low Density,8,5,Gable,Average,1998,741,Average,2010,254900,306061.5905
Low Density,6,7,Gable,Fair,1977,473,Average,2010,190000,220898.8444
Low Density,7,5,Gable,NA,2003,573,Average,2010,201000,217680.3112
Low Density,6,5,Gable,NA,1976,888,Average,2010,169900,173045.8788
Low Density,6,5,Gable,NA,1976,776,Average,2010,170000,177333.4411
Low Density,5,5,Gable,Average,1966,572,Average,2010,160000,167319.2766
Low Density,7,5,Gable,Average,2008,660,Average,2010,220000,245588.9994
Low Density,7,5,Gable,NA,2010,520,Average,2010,179781,208139.6393
Low Density,5,5,Gable,NA,2007,400,Average,2010,174000,205006.0421
Low Density,8,5,Gable,Good,2009,680,Average,2010,269500,274700.0724
Low Density,7,5,Gable,Good,2002,510,Average,2010,214900,237892.3525
Low Density,8,5,Gable,NA,2002,431,Average,2010,202900,220726.9183
Low Density,9,5,Hip,Good,2009,746,Average,2010,378500,444714.9574
Low Density,5,5,Hip,Average,1965,528,Average,2010,169000,209897.8172
Low Density,5,5,Gable,NA,2004,624,Average,2010,173500,181852.5996
Low Density,6,5,Mansard,NA,,0,NA,2010,139000,150192.449
Low Density,5,5,Gable,Good,2001,686,Average,2010,166500,179424.473
Medium Density,4,5,Gable,NA,1973,286,Average,2010,83500,88532.49171
Medium Density,5,6,Gable,Poor,1973,253,Average,2010,119500,120713.0441
Medium Density,5,3,Gable,NA,1976,336,Average,2010,85000,100603.217
Medium Density,4,7,Gable,NA,,0,NA,2010,76000,91802.57546
Medium Density,4,6,Gable,NA,,0,NA,2010,75500,81073.45794
Medium Density,4,4,Gable,NA,,0,NA,2010,88250,105363.2948
Medium Density,4,6,Gable,NA,1972,286,Average,2010,85500,87254.32149
Low Density,5,7,Gable,NA,1971,352,Average,2010,130000,138648.5143
Low Density,5,7,Gable,NA,1962,312,Average,2010,157900,187523.6156
Low Density,5,7,Gable,NA,1984,495,Average,2010,149900,180950.1356
Low Density,5,2,Gable,NA,1985,616,Average,2010,159000,180152.1191
Low Density,5,5,Gable,NA,1993,576,Average,2010,136000,160267.7853
Low Density,5,5,Gable,NA,1969,275,Average,2010,161000,170216.9802
Low Density,8,5,Hip,Average,1994,482,Average,2010,285000,299409.798
Low Density,6,5,Gable,Fair,1993,616,Average,2010,231000,276588.0428
Low Density,6,5,Gable,NA,1956,502,Average,2009,124500,134196.0843
Low Density,6,5,Hip,Good,1974,528,Average,2009,157000,172492.915
Low Density,8,7,Gable,Average,1972,538,Average,2009,345000,400878.3668
Low Density,6,5,Gable,Average,1997,470,Average,2009,189500,225956.9164
Low Density,8,5,Gable,Good,2003,632,Average,2009,270000,332625.9901
Low Density,7,5,Gable,Average,1996,390,Average,2009,189000,219016.1372
Low Density,9,5,Gable,Good,2006,758,Average,2009,377500,439723.6071
Low Density,7,5,Gable,Average,1995,400,Average,2009,168500,199476.9469
Low Density,8,5,Gable,Good,2004,564,Average,2009,375000,418373.4033
Low Density,8,5,Gable,Excellent,2000,499,Average,2009,278000,282359.7645
Low Density,8,5,Gable,NA,1998,495,Average,2009,240000,276603.605
Low Density,8,5,Gable,NA,1995,528,Average,2009,239500,257537.4116
Low Density,7,5,Gable,Average,1998,396,Average,2009,177500,188424.7738
Low Density,7,5,Gable,Average,1998,427,Average,2009,185000,205802.7694
Low Density,6,5,Gable,Average,1998,440,Average,2009,191000,226242.4096
Low Density,6,7,Gable,Average,1993,380,Average,2009,178000,217516.5453
Low Density,6,8,Gable,Average,1993,420,Average,2009,185000,219012.659
Low Density,6,5,Gable,Average,1994,409,Average,2009,181316,185990.8853
Low Density,6,5,Gable,Average,1993,430,Average,2009,166000,206062.13
Low Density,6,5,Gable,Average,1993,389,Average,2009,178000,202741.8262
Low Density,6,5,Gable,Average,1994,343,Average,2009,174000,198642.933
Low Density,6,6,Gable,NA,1992,400,Average,2009,173000,198666.1573
Low Density,7,5,Gable,Average,1999,490,Average,2009,225000,276002.6378
Low Density,7,5,Gable,NA,1990,500,Average,2009,180500,217764.5402
Low Density,8,5,Gable,Excellent,1984,565,Average,2009,187500,224017.0185
Low Density,9,5,Hip,Good,2009,1166,Average,2009,501837,541384.4138
Low Density,8,5,Hip,Good,2008,834,Average,2009,372500,454611.6351
Low Density,7,5,Hip,Good,2005,430,Average,2009,260000,266245.3936
Low Density,5,6,Gable,Average,1977,567,Average,2009,185000,201603.2237
Low Density,7,7,Gable,Average,1983,484,Average,2009,260000,273180.9755
Low Density,6,5,Gable,Average,1979,435,Average,2009,181000,187758.3072
Low Density,7,5,Hip,Average,1977,544,Average,2009,82500,84702.85819
Low Density,6,7,Gable,Average,1977,529,Average,2009,215000,262412.1388
Low Density,7,6,Gable,Average,1978,529,Average,2009,154000,185328.3396
Low Density,6,6,Gable,Average,1978,484,Average,2009,200000,205358.091
Low Density,7,7,Gable,Average,1980,441,Average,2009,249000,300134.2009
Low Density,7,5,Gable,Average,1980,588,Average,2009,187500,191206.6614
Low Density,6,5,Gable,Average,1978,479,Average,2009,184000,199046.9236
Low Density,8,5,Hip,Good,1981,542,Average,2009,278000,312375.1682
Low Density,7,5,Gable,Average,1978,478,Average,2009,157000,171242.284
Low Density,7,5,Gable,Average,1976,479,Average,2009,152000,178061.5256
Low Density,5,7,Gable,Average,1976,484,Average,2009,197500,238411.7933
